sample_index,sample_id,episode_id,region,timestep_index,timestep,sigma,noise_seed,swapped_action_count,noop_count,noop_fraction,loss_correct,loss_wrong,delta
0,my_way_home_episode_0016_clip_000036,episode_0016,early,100,964,0.9643239974975586,44,10,0,0.0,0.2104303389787674,0.19703100621700287,-0.013399332761764526
0,my_way_home_episode_0016_clip_000036,episode_0016,middle,500,750,0.7503747940063477,45,10,0,0.0,0.14767923951148987,0.15310190618038177,0.005422666668891907
0,my_way_home_episode_0016_clip_000036,episode_0016,late,900,251,0.251872181892395,46,10,0,0.0,0.20674964785575867,0.2083723396062851,0.0016226917505264282
1,my_way_home_episode_0042_clip_000015,episode_0042,early,100,964,0.9643239974975586,47,12,0,0.0,0.16233792901039124,0.19908615946769714,0.03674823045730591
1,my_way_home_episode_0042_clip_000015,episode_0042,middle,500,750,0.7503747940063477,48,12,0,0.0,0.09872560948133469,0.12715768814086914,0.028432078659534454
1,my_way_home_episode_0042_clip_000015,episode_0042,late,900,251,0.251872181892395,49,12,0,0.0,0.20993825793266296,0.2294607311487198,0.019522473216056824
2,my_way_home_episode_0045_clip_000055,episode_0045,early,100,964,0.9643239974975586,50,15,1,0.0625,0.08529331535100937,0.10406626760959625,0.018772952258586884
2,my_way_home_episode_0045_clip_000055,episode_0045,middle,500,750,0.7503747940063477,51,15,1,0.0625,0.0687495693564415,0.07185503095388412,0.003105461597442627
2,my_way_home_episode_0045_clip_000055,episode_0045,late,900,251,0.251872181892395,52,15,1,0.0625,0.26217055320739746,0.25973159074783325,-0.002438962459564209
3,my_way_home_episode_0037_clip_000057,episode_0037,early,100,964,0.9643239974975586,53,7,0,0.0,0.1759326308965683,0.19484855234622955,0.018915921449661255
3,my_way_home_episode_0037_clip_000057,episode_0037,middle,500,750,0.7503747940063477,54,7,0,0.0,0.0639536902308464,0.11618265509605408,0.05222896486520767
3,my_way_home_episode_0037_clip_000057,episode_0037,late,900,251,0.251872181892395,55,7,0,0.0,0.09369226545095444,0.09651801735162735,0.0028257519006729126
4,my_way_home_episode_0027_clip_000011,episode_0027,early,100,964,0.9643239974975586,56,16,0,0.0,0.170876607298851,0.1849392205476761,0.014062613248825073
4,my_way_home_episode_0027_clip_000011,episode_0027,middle,500,750,0.7503747940063477,57,16,0,0.0,0.14104576408863068,0.18327410519123077,0.0422283411026001
4,my_way_home_episode_0027_clip_000011,episode_0027,late,900,251,0.251872181892395,58,16,0,0.0,0.2563941180706024,0.27756360173225403,0.02116948366165161
5,my_way_home_episode_0026_clip_000055,episode_0026,early,100,964,0.9643239974975586,59,9,0,0.0,0.19674016535282135,0.2008393257856369,0.004099160432815552
5,my_way_home_episode_0026_clip_000055,episode_0026,middle,500,750,0.7503747940063477,60,9,0,0.0,0.15296053886413574,0.15225842595100403,-0.0007021129131317139
5,my_way_home_episode_0026_clip_000055,episode_0026,late,900,251,0.251872181892395,61,9,0,0.0,0.2675417363643646,0.2602026164531708,-0.007339119911193848
6,my_way_home_episode_0009_clip_000055,episode_0009,early,100,964,0.9643239974975586,62,14,2,0.125,0.09882350265979767,0.21138450503349304,0.11256100237369537
6,my_way_home_episode_0009_clip_000055,episode_0009,middle,500,750,0.7503747940063477,63,14,2,0.125,0.0638364776968956,0.07108765095472336,0.007251173257827759
6,my_way_home_episode_0009_clip_000055,episode_0009,late,900,251,0.251872181892395,64,14,2,0.125,0.18561510741710663,0.19054760038852692,0.004932492971420288
7,my_way_home_episode_0012_clip_000024,episode_0012,early,100,964,0.9643239974975586,65,11,0,0.0,0.28017860651016235,0.31074151396751404,0.030562907457351685
7,my_way_home_episode_0012_clip_000024,episode_0012,middle,500,750,0.7503747940063477,66,11,0,0.0,0.13236497342586517,0.14114001393318176,0.00877504050731659
7,my_way_home_episode_0012_clip_000024,episode_0012,late,900,251,0.251872181892395,67,11,0,0.0,0.193343847990036,0.20098401606082916,0.007640168070793152
8,my_way_home_episode_0010_clip_000058,episode_0010,early,100,964,0.9643239974975586,68,5,0,0.0,0.1683611422777176,0.1757194697856903,0.007358327507972717
8,my_way_home_episode_0010_clip_000058,episode_0010,middle,500,750,0.7503747940063477,69,5,0,0.0,0.05863552168011665,0.05954185873270035,0.0009063370525836945
8,my_way_home_episode_0010_clip_000058,episode_0010,late,900,251,0.251872181892395,70,5,0,0.0,0.07302884012460709,0.07281550765037537,-0.00021333247423171997
9,my_way_home_episode_0036_clip_000025,episode_0036,early,100,964,0.9643239974975586,71,9,4,0.25,0.15079402923583984,0.20153161883354187,0.050737589597702026
9,my_way_home_episode_0036_clip_000025,episode_0036,middle,500,750,0.7503747940063477,72,9,4,0.25,0.12181182205677032,0.13816556334495544,0.01635374128818512
9,my_way_home_episode_0036_clip_000025,episode_0036,late,900,251,0.251872181892395,73,9,4,0.25,0.22587423026561737,0.23099066317081451,0.0051164329051971436
10,my_way_home_episode_0035_clip_000030,episode_0035,early,100,964,0.9643239974975586,74,9,0,0.0,0.20525743067264557,0.20070435106754303,-0.004553079605102539
10,my_way_home_episode_0035_clip_000030,episode_0035,middle,500,750,0.7503747940063477,75,9,0,0.0,0.07968957722187042,0.10656806826591492,0.026878491044044495
10,my_way_home_episode_0035_clip_000030,episode_0035,late,900,251,0.251872181892395,76,9,0,0.0,0.10955163091421127,0.10786786675453186,-0.0016837641596794128
11,my_way_home_episode_0031_clip_000010,episode_0031,early,100,964,0.9643239974975586,77,6,0,0.0,0.17711418867111206,0.1922566294670105,0.015142440795898438
11,my_way_home_episode_0031_clip_000010,episode_0031,middle,500,750,0.7503747940063477,78,6,0,0.0,0.164199560880661,0.18259352445602417,0.01839396357536316
11,my_way_home_episode_0031_clip_000010,episode_0031,late,900,251,0.251872181892395,79,6,0,0.0,0.29360759258270264,0.31108278036117554,0.0174751877784729
12,my_way_home_episode_0028_clip_000011,episode_0028,early,100,964,0.9643239974975586,80,8,8,0.5,0.12545578181743622,0.14148682355880737,0.016031041741371155
12,my_way_home_episode_0028_clip_000011,episode_0028,middle,500,750,0.7503747940063477,81,8,8,0.5,0.08540810644626617,0.0928780734539032,0.007469967007637024
12,my_way_home_episode_0028_clip_000011,episode_0028,late,900,251,0.251872181892395,82,8,8,0.5,0.16094575822353363,0.16306567192077637,0.002119913697242737
13,my_way_home_episode_0043_clip_000049,episode_0043,early,100,964,0.9643239974975586,83,16,0,0.0,0.21088260412216187,0.2589743733406067,0.048091769218444824
13,my_way_home_episode_0043_clip_000049,episode_0043,middle,500,750,0.7503747940063477,84,16,0,0.0,0.12209975719451904,0.13035355508327484,0.008253797888755798
13,my_way_home_episode_0043_clip_000049,episode_0043,late,900,251,0.251872181892395,85,16,0,0.0,0.19684363901615143,0.2044321596622467,0.007588520646095276
14,my_way_home_episode_0048_clip_000031,episode_0048,early,100,964,0.9643239974975586,86,6,9,0.5625,0.16752691566944122,0.1912355273962021,0.023708611726760864
14,my_way_home_episode_0048_clip_000031,episode_0048,middle,500,750,0.7503747940063477,87,6,9,0.5625,0.08284994959831238,0.08731459081172943,0.004464641213417053
14,my_way_home_episode_0048_clip_000031,episode_0048,late,900,251,0.251872181892395,88,6,9,0.5625,0.16519570350646973,0.16716228425502777,0.0019665807485580444
15,my_way_home_episode_0039_clip_000025,episode_0039,early,100,964,0.9643239974975586,89,7,0,0.0,0.1577800065279007,0.1904902160167694,0.03271020948886871
15,my_way_home_episode_0039_clip_000025,episode_0039,middle,500,750,0.7503747940063477,90,7,0,0.0,0.05045335367321968,0.07087934017181396,0.020425986498594284
15,my_way_home_episode_0039_clip_000025,episode_0039,late,900,251,0.251872181892395,91,7,0,0.0,0.09483880549669266,0.09704031050205231,0.0022015050053596497
16,my_way_home_episode_0020_clip_000055,episode_0020,early,100,964,0.9643239974975586,92,16,0,0.0,0.12727366387844086,0.19445790350437164,0.06718423962593079
16,my_way_home_episode_0020_clip_000055,episode_0020,middle,500,750,0.7503747940063477,93,16,0,0.0,0.05944972485303879,0.06561286747455597,0.006163142621517181
16,my_way_home_episode_0020_clip_000055,episode_0020,late,900,251,0.251872181892395,94,16,0,0.0,0.1949898898601532,0.21626831591129303,0.02127842605113983
17,my_way_home_episode_0024_clip_000004,episode_0024,early,100,964,0.9643239974975586,95,7,9,0.5625,0.13931432366371155,0.1549149453639984,0.015600621700286865
17,my_way_home_episode_0024_clip_000004,episode_0024,middle,500,750,0.7503747940063477,96,7,9,0.5625,0.04521217569708824,0.054105233401060104,0.008893057703971863
17,my_way_home_episode_0024_clip_000004,episode_0024,late,900,251,0.251872181892395,97,7,9,0.5625,0.08621659874916077,0.08608130365610123,-0.0001352950930595398
18,my_way_home_episode_0044_clip_000048,episode_0044,early,100,964,0.9643239974975586,98,9,0,0.0,0.3350488543510437,0.3664005398750305,0.031351685523986816
18,my_way_home_episode_0044_clip_000048,episode_0044,middle,500,750,0.7503747940063477,99,9,0,0.0,0.033901482820510864,0.039167191833257675,0.005265709012746811
18,my_way_home_episode_0044_clip_000048,episode_0044,late,900,251,0.251872181892395,100,9,0,0.0,0.0753738060593605,0.07637844979763031,0.001004643738269806
19,my_way_home_episode_0002_clip_000053,episode_0002,early,100,964,0.9643239974975586,101,7,0,0.0,0.16310802102088928,0.15399110317230225,-0.009116917848587036
19,my_way_home_episode_0002_clip_000053,episode_0002,middle,500,750,0.7503747940063477,102,7,0,0.0,0.1024034321308136,0.11108804494142532,0.008684612810611725
19,my_way_home_episode_0002_clip_000053,episode_0002,late,900,251,0.251872181892395,103,7,0,0.0,0.234477698802948,0.23240801692008972,-0.0020696818828582764
20,my_way_home_episode_0049_clip_000026,episode_0049,early,100,964,0.9643239974975586,104,12,0,0.0,0.1590530127286911,0.21782620251178741,0.058773189783096313
20,my_way_home_episode_0049_clip_000026,episode_0049,middle,500,750,0.7503747940063477,105,12,0,0.0,0.10119659453630447,0.12214156240224838,0.02094496786594391
20,my_way_home_episode_0049_clip_000026,episode_0049,late,900,251,0.251872181892395,106,12,0,0.0,0.25689244270324707,0.27094516158103943,0.014052718877792358
21,my_way_home_episode_0041_clip_000019,episode_0041,early,100,964,0.9643239974975586,107,5,0,0.0,0.16937807202339172,0.15295158326625824,-0.016426488757133484
21,my_way_home_episode_0041_clip_000019,episode_0041,middle,500,750,0.7503747940063477,108,5,0,0.0,0.039706386625766754,0.05418230965733528,0.014475923031568527
21,my_way_home_episode_0041_clip_000019,episode_0041,late,900,251,0.251872181892395,109,5,0,0.0,0.08129554986953735,0.08156802505254745,0.0002724751830101013
22,my_way_home_episode_0004_clip_000027,episode_0004,early,100,964,0.9643239974975586,110,3,6,0.375,0.13192787766456604,0.13910669088363647,0.007178813219070435
22,my_way_home_episode_0004_clip_000027,episode_0004,middle,500,750,0.7503747940063477,111,3,6,0.375,0.07012134045362473,0.07159584760665894,0.0014745071530342102
22,my_way_home_episode_0004_clip_000027,episode_0004,late,900,251,0.251872181892395,112,3,6,0.375,0.13908739387989044,0.13943225145339966,0.0003448575735092163
