state,seed,sample_id,episode_id,original_first_turn_A1_signed_u,reversed_first_turn_A1_signed_u,first_segment_expected_flip,original_final_turn_A10_to_A15_signed_u,reversed_final_turn_A10_to_A15_signed_u,final_segment_expected_flip,existing_overall_flip_success,failure_category,original_video_path,reversed_video_path,original_video_sha256,reversed_video_sha256
A,42,my_way_home_episode_0040_clip_000026,episode_0040,-2.7600973991378845,-0.4842644150348794,False,-0.27251993568105154,7.9466526026267035,True,False,first_only,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_A_original_seed_42.mp4,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_A_reversed_seed_42.mp4,21c5ab3a8225985203e30f863bab1650419c64e3487dd0a6391b0b886deaa613,ce750880f51976db95c22b05f43902f4c21dc14843f45197177699f8529a4f00
A,43,my_way_home_episode_0040_clip_000026,episode_0040,6.917598923607996,-1.0115732889598386,True,-8.032847191508962,13.903085426482386,True,True,none,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_A_original_seed_43.mp4,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_A_reversed_seed_43.mp4,a931ec4ba37071606f6254b19877df247f6965139b9897c4166174e40ac1735f,26ee7eafd540852201ce35dab5b9f86f5ca57a223505ba29f6c4c1aa9314df91
A,44,my_way_home_episode_0040_clip_000026,episode_0040,9.02396778949662,3.133224860237818,False,-3.0421577177770955,5.753416296772521,True,False,first_only,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_A_original_seed_44.mp4,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_A_reversed_seed_44.mp4,b083b7594dbaf670866c193360a4b98bd59064e88c61e774ec334d27cc36f171,57d5e68a0f9f19b0096bc74b149f29dea77cccc30e342c0130ffcf7116190c8b
B,42,my_way_home_episode_0017_clip_000031,episode_0017,2.92967900972709,1.9684281183223218,False,-1.1123299292201123,2.3174426463794706,True,False,first_only,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_B_original_seed_42.mp4,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_B_reversed_seed_42.mp4,ed7af93f85839d470df69d134a403ac1261fce8a74f2b22ccb5e6d1e13a1ef20,0f8ed522d2982fe7e06e50d83653f87ee49a8743518cfbbf9458b4c80adeebad
B,43,my_way_home_episode_0017_clip_000031,episode_0017,3.9754565863494906,-6.388799699018258,True,-1.7878132455191826,4.195826831918968,True,True,none,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_B_original_seed_43.mp4,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_B_reversed_seed_43.mp4,5f953cb08a9432a54e37fd81e2983b7482f2767329d58cc82d9e9d8ce73f2f9f,afacf114fd676c254a6445253e6b3239a6f1b31d503e06b3020c62bcbdc17afe
B,44,my_way_home_episode_0017_clip_000031,episode_0017,1.0105763021866077,0.37947755996944865,False,-0.5259009313436519,-1.2556235137429852,False,False,both,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_B_original_seed_44.mp4,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_B_reversed_seed_44.mp4,13ecf4422747de9b17eaa0093838bddc3c7e71a5943e371b1ff6ea82f37f6cfc,5bb5c29bdcc5a1eb57000d0fec8b208a15f0d4ffbe1226b126328eadad9e35a9
C,42,my_way_home_episode_0014_clip_000017,episode_0014,0.1479535476023862,0.11338470504631953,False,-0.3844120384657796,0.1773605507190369,True,False,first_only,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_C_original_seed_42.mp4,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_C_reversed_seed_42.mp4,520432ce0cf1a6c2032dbfe936d7cfb29db72049c60a2073bef90cf5e89ee3bd,a9a01036a1fa6c884efe74edba3a3d9c4a01b681f9b200d9d06de8ebf293e939
C,43,my_way_home_episode_0014_clip_000017,episode_0014,0.02188902541730073,-0.4294332250925352,True,-1.0871730990187725,1.3611020696622413,True,True,none,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_C_original_seed_43.mp4,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_C_reversed_seed_43.mp4,c9c55c1a5cfc5d815e9ecb121603f6d9a716d93a63e41ab54048aca6211ebab7,9f5af7386f28ff46d8ccd79ea8d496057c8900c62c7c7032908c67affd98004f
C,44,my_way_home_episode_0014_clip_000017,episode_0014,0.030119195821013644,-0.15289510913494578,True,-0.12328194411222788,0.04890843459573673,True,True,none,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_C_original_seed_44.mp4,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_C_reversed_seed_44.mp4,e04b5634d1191af3f72d979447fd9f9974a6626fdcfae37d2d71da1a5e5353f5,dc5fb643f2269dd17924ab46d2cfbb54392a949680156c05d93315219039e0aa
D,42,my_way_home_episode_0007_clip_000006,episode_0007,7.965899041773783,-5.029137953232515,True,-4.492591688995257,1.5206481742035294,True,True,none,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_D_original_seed_42.mp4,/root/autodl-tmp/GameDynamics_starter/data/experiments/m6f2_action_contrastive_128_6400/eval/videos/state_D_reversed_seed_42.mp4,be19eaab2dc87e80c605e19582474088f9ef35579c14980d5265c1ef73ef54bb,3421607cde546becf66d37e06f8ef8b3d0479751a514f9f688d3583c25e53f06
